ID,sentence1,sentence2,category,studied_quantity,result_comparison,equation_sentence1,equation_sentence2,task,natural_language_coefficient
1,"[PERSON_A] lifted 5 pounds with the left arm, 3 pounds with the right arm, and then added 1 pound to each arm.","[PERSON_B] lifted 4 pounds with the left arm, 4 pounds with the right arm, and then added 2 pounds to the left arm only.",Health & Fitness,weight,equal,5 + 3 + (1+1),4 + 4 + 2,lifting pounds,FALSE
2,"[PERSON_A] paid $7 for a haircut, tipped $2, and bought hair products for triple the tip amount.","[PERSON_B] paid $5 for a haircut, tipped $4, and bought hair products for $6.",Personal Care,money,equal,7 + 2 + (3×2),5 + 4 + 6,hair care,TRUE
3,"[PERSON_A] walked 4 miles on Saturday, 2 miles on Sunday, and half of Saturday's distance on Monday.","[PERSON_B] walked 3 miles on Saturday, 3 miles on Sunday, and 2 miles on Monday.",Health & Fitness,distance,equal,4 + 2 + (4/2),3 + 3 + 2,walking miles,TRUE
4,"[PERSON_A] hiked 4 miles on Monday, 6 miles on Wednesday, and 2 miles on Friday.","[PERSON_B] walked 3 miles on Tuesday, 5 miles on Thursday, and jogged 4 miles on Saturday.",Health & Fitness,distance,equal,4+6+2,3+5+4,covering distance on foot,FALSE
5,"[PERSON_A] studied for 2 hours in the morning, 3 hours after lunch, and twice the morning time in the evening.","[PERSON_B] reviewed notes for 3 hours before dinner, 4 hours after dinner, and 1 hour before bed.",Education,time,less,2+3+(2×2),3+4+1,studying,TRUE
6,"[PERSON_A] spent $7 on lunch, $8 on dinner, and got a $6 refund for breakfast.","[PERSON_B] paid $5 for breakfast, $9 for lunch, and $5 for snacks throughout the day.",Dining,money,more,7+8-6,5+9+5,buying food,FALSE
7,"[PERSON_A] drove 5 miles to work, then 2 miles to lunch, and finally 3 miles back home.","[PERSON_B] took a 6-mile bus ride downtown, walked 1 mile to the store, and traveled 3 miles back to their apartment.",Transportation,distance,equal,5+2+3,6+1+3,traveling distance daily,FALSE
8,"[PERSON_A] watched a 2-hour movie, spent 3 hours gaming, and 4 hours socializing at a party.","[PERSON_B] attended a 3-hour concert, played games for 5 hours, and relaxed for 1 hour at home.",Entertainment,time,equal,2+3+4,3+5+1,entertainment,FALSE
9,"[PERSON_A] bought 4 apples at $2 each, then purchased 3 oranges at $1 each, and returned a $3 item.","[PERSON_B] spent $5 on grapes, $4 on bananas, and received a $1 discount at checkout.",Shopping,money,equal,(4×2)+(3×1)-3,5+4-1,buying fruits,FALSE
10,"[PERSON_A] lifted 8 weights for 3 sets, skipped 6 repetitions throughout, and added 4 extra lifts at the end.","[PERSON_B] completed 9 exercises, took 3 breaks, and finished with 6 stretches.",Health & Fitness,others,equal,(8×3)-6+4,9-3+16,performing fitness activities,FALSE
11,"[PERSON_A] typed 6 pages on Monday, 4 pages on Tuesday, and deleted 1 page of content on Wednesday.","[PERSON_B] wrote 3 pages in the morning, 5 pages in the afternoon, and revised 1 page in the evening.",Education,others,less,6+4,3+5+1,producing written content,FALSE
12,"[PERSON_A] spent 3 hours cleaning the kitchen, 2 hours organizing the bedroom, and 4 hours decorating the living room.","[PERSON_B] used 5 hours to clean the bathroom, 1 hour to tidy the hallway, and 3 hours to rearrange furniture.",Home & Living,time,equal,3+2+4,5+1+3,home maintenance,FALSE
13,"[PERSON_A] ordered a pizza with 8 slices, ate 5 slices today, and saved the rest for tomorrow.","[PERSON_B] made a casserole that serves 6 people, shared it with 3 friends, and kept the remaining portions.",Dining,others,equal,8-5,6-3,having food portions remaining,FALSE
14,"[PERSON_A] bought a 5-year warranty, used the product for 2 years, and has 3 years of coverage remaining.","[PERSON_B] purchased a subscription for 6 months, renewed it for 4 months, and canceled with 7 months unused.",Technology,time,less,5*12-2*12,6+4-7,having time remaining on product coverage,FALSE
15,"[PERSON_A] bought 15 apples at $1.25 each, returned 3 of them for a full refund, and then purchased 7 more at $0.90 each.",[PERSON_B] purchased 12 apples at $1.25 each and 7 more apples at $0.90 each.,Shopping,money,equal,(15 × 1.25) - (3 × 1.25) + (7 × 0.90),(12 × 1.25) + (7 × 0.90),buying apples,FALSE
16,"[PERSON_A] spent 45 minutes on cardio, took a 15-minute break, then did 30 minutes of strength training.","[PERSON_B] exercised for 60 minutes, rested for 15 minutes, and then worked out for another 15 minutes.",Health & Fitness,time,equal,45 + 15 + 30,60 + 15 + 15,exercising,FALSE
17,"[PERSON_A] drove 35 miles to work, took a 12-mile detour for lunch, and then drove 28 miles back home.","[PERSON_B] drove 40 miles to work, went 5 miles to meet a friend, and then drove 30 miles back home.",Transportation,distance,equal,35 + 12 + 28,40 + 5 + 30,driving miles,FALSE
18,"[PERSON_A] paid $24.99 for a main dish, $8.50 for dessert, and left a $6.70 tip.","[PERSON_B] ordered an appetizer for $12.45, a main dish for $20.99, and left a $6.75 tip.",Dining,money,equal,24.99 + 8.50 + 6.70,12.45 + 20.99 + 6.75,buying restaurant meal,FALSE
19,"[PERSON_A] studied for 3 hours on Monday, 4 hours on Wednesday, and 5 hours on Friday.","[PERSON_B] studied for 4 hours on Tuesday, 6 hours on Thursday, and 2 hours on Saturday.",Education,time,equal,3 + 4 + 5,4 + 6 + 2,studying,FALSE
20,"[PERSON_A] spent $15.99 on a moisturizer, $8.50 on face wash, and $5.75 on lip balm.","[PERSON_B] bought a face mask for $12.49, toner for $9.99, and sunscreen for $7.76.",Personal Care,money,equal,15.99 + 8.50 + 5.75,12.49 + 9.99 + 7.76,buying skincare products,FALSE
21,"[PERSON_A] paid $42.99 for a monthly internet subscription, $9.99 for a streaming service, and received a $5.50 loyalty discount.","[PERSON_B] paid $39.99 for internet, $12.99 for a premium streaming service, and got a $5.50 bundle discount.",Technology,money,equal,42.99 + 9.99 - 5.50,39.99 + 12.99 - 5.50,digital services,FALSE
22,"[PERSON_A] spent $35 on groceries, used a $5 coupon, and then bought additional items for $15.",[PERSON_B] purchased $25 worth of groceries and later returned to buy $20 more in items.,Shopping,money,equal,35 - 5 + 15,25 + 20,groceries,FALSE
23,"[PERSON_A] hiked 4.5 miles in the morning, 3.2 miles in the afternoon, and jogged 2.8 miles in the evening.",[PERSON_B] ran 5.7 miles before breakfast and walked 4.8 miles after dinner.,Health & Fitness,distance,equal,4.5 + 3.2 + 2.8,5.7 + 4.8,exercising,FALSE
24,"[PERSON_A] spent $85 on a hotel room, $45 on meals, and received a $15 travel credit.",[PERSON_B] booked an all-inclusive stay for $99 and paid an additional $16 in resort fees.,Travel,money,less,85 + 45,99 + 16,accommodations,FALSE
25,"[PERSON_A] spent 25 minutes washing dishes, 35 minutes vacuuming, and 20 minutes dusting.","[PERSON_B] cleaned the bathroom for 30 minutes, the kitchen for 40 minutes, and organized for 10 minutes.",Home & Living,time,equal,25 + 35 + 20,30 + 40 + 10,cleaning,FALSE
26,"[PERSON_A] paid $12.50 for lunch on Monday, $14.75 on Wednesday, and $16.25 on Friday.","[PERSON_B] spent $15.50 on lunch on Tuesday, $18.00 on Thursday, and $10.00 on Saturday.",Dining,money,equal,12.50 + 14.75 + 16.25,15.50 + 18.00 + 10.00,lunches,FALSE
27,"[PERSON_A] drove 18 miles to work, carpooled 7 miles to lunch, and drove 22 miles back home.",[PERSON_B] took a 27-mile scenic route to work and drove 20 miles returning home.,Transportation,distance,more,18 + 22,27 + 20,commuting,FALSE
28,"[PERSON_A] spent $299 on a tablet, received a $50 store credit, and purchased a $36 case.",[PERSON_B] bought a tablet package for $275 and paid $10 for express shipping and $0 for a promotional case.,Technology,money,equal,299 - 50 + 36,275 + 10 + 0,buying tablet and accessories,FALSE
29,"[PERSON_A] attended a 90-minute lecture, took a 15-minute break, and participated in a 45-minute discussion.","[PERSON_B] joined a 75-minute seminar, spent 30 minutes on practice problems, and had a 45-minute review session.",Education,time,more,90 + 45,75 + 30 + 45,in-class activties,FALSE
30,"[PERSON_A] spent $22 on a facial treatment, $18 on a manicure, and $35 on a haircut.",[PERSON_B] paid $45 for a combined facial and manicure package and $30 for a haircut.,Personal Care,money,equal,22 + 18 + 35,45 + 30,beauty services,FALSE
31,"[PERSON_A] paid $650 monthly rent, $120 for electricity, and received a $50 maintenance credit.","[PERSON_B] paid $600 for rent, $85 for electricity, and $35 for water.",Home & Living,money,equal,650 + 120 - 50,600 + 85 + 35,monthly housing expenses,FALSE
32,"[PERSON_A] flew 850 miles to a conference, drove 75 miles during the stay, and flew 795 miles on a different return route.","[PERSON_B] took a direct 1,645-mile round trip flight and drove 75 miles at the destination.",Travel,distance,equal,850 + 75 + 795,1645 + 75,traveling miles on business trips,FALSE
33,"[PERSON_A] spent 25 minutes on math homework, 40 minutes on history, and then took a 15-minute break before studying science for another 30 minutes.","[PERSON_B] studied English for 45 minutes, chemistry for 35 minutes, and then completed a 30-minute online quiz.",Education,time,more,25 + 40 + 30,45 + 35 + 30,studying,FALSE
34,"[PERSON_A] drove 35 miles to work, then 22 miles to a client meeting, and finally 18 miles back home.","[PERSON_B] traveled 45 miles to visit family, stopped at a store 15 miles away, and then drove another 15 miles to return home.",Transportation,distance,equal,35 + 22 + 18,45 + 15 + 15,traveling by car,FALSE
35,"[PERSON_A] paid $12 for a movie ticket, $8 for popcorn, and split a $14 dinner bill with a friend after the show.","[PERSON_B] spent $15 on a concert ticket, bought snacks for $5, and paid $7 for transportation to and from the venue.",Entertainment,money,equal,12 + 8 + (14/2),15 + 5 + 7,entertainment,FALSE
36,"[PERSON_A] bought a smartphone for $299, got a $50 mail-in rebate, and paid $45 for a protection plan.","[PERSON_B] purchased a laptop for $349, received a $65 instant discount, and paid $10 for expedited shipping.",Technology,money,equal,299 - 50 + 45,349 - 65 + 10,electronics,FALSE
37,"[PERSON_A] spent 3 hours cleaning the house, 2 hours doing laundry, and half the combined time cooking meals for the week.","[PERSON_B] dedicated 1 hour to washing dishes, 4 hours to organizing closets, and 2.5 hours to grocery shopping and putting items away.",Home & Living,time,equal,3 + 2 + ((3+2)/2),1 + 4 + 2.5,household tasks,TRUE
38,"[PERSON_A] scored 82 points in the first game, 78 in the second, and the average of both games in the third game.","[PERSON_B] earned 65 points in the first match, 95 in the second, and half of the combined score from both matches in the final round.",Entertainment,others,equal,82 + 78 + ((82+78)/2),65 + 95 + ((65+95)/2),earning points in games,TRUE
39,"[PERSON_A] spent 75 minutes on the treadmill, 45 minutes lifting weights, and 30 minutes in a yoga class over the weekend.","[PERSON_B] did 60 minutes of swimming, 40 minutes of cycling, and 50 minutes of cardio training during the week.",Health & Fitness,time,equal,75 + 45 + 30,60 + 40 + 50,exercising,FALSE
